CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,REGIAO,CLUSTER,PC_ALUNO_ALFABETIZADO,DISTANCIA_META_2030,PC_FAMILIAS_POBREZA,RENDA_PER_CAPITA_MEDIA,MEDIA_INSE,PC_ESCOLAS_BIBLIOTECA,PC_ESCOLAS_LAB_INFORMATICA,PC_ESCOLAS_INTERNET_ALUNOS
4109708,Ibaiti,PR,Sul,1,81.74,1.74,15.406562054208273,1437.92,5.123888888888889,0.5151515151515151,0.3333333333333333,0.3939393939393939
4109757,Ibema,PR,Sul,1,83.17,3.17,12.653446647780925,1329.26,4.8999999999999995,0.8571428571428571,0.7142857142857143,0.8571428571428571
4109807,Ibiporã,PR,Sul,1,79.41,-0.59,22.755071599045344,1651.74,5.35,0.5625,0.4583333333333333,0.6041666666666666
4109906,Icaraíma,PR,Sul,1,81.53,1.53,25.866851595006935,1338.6,5.175,0.75,0.4166666666666667,0.6666666666666666
4110052,Iguatu,PR,Sul,1,89.47,9.47,18.672665916760405,1480.17,5.305,0.6666666666666666,0.6666666666666666,0.6666666666666666
4110078,Imbaú,PR,Sul,1,86.18,6.18,22.679558011049725,1176.57,4.997777777777777,0.8461538461538461,0.15384615384615385,0.6153846153846154
4110102,Imbituva,PR,Sul,1,81.72,1.72,18.738404452690165,1254.07,5.1850000000000005,0.41379310344827586,0.2413793103448276,0.8620689655172413
4110201,Inácio Martins,PR,Sul,0,71.31,-8.69,31.8448883666275,1124.11,4.9314285714285715,0.4375,0.25,0.375
4110300,Inajá,PR,Sul,1,92.74,12.74,20.588235294117645,1139.89,5.233333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
4110409,Indianópolis,PR,Sul,1,97.78,17.78,15.28,1380.22,5.345,0.75,0.75,0.5
4110508,Ipiranga,PR,Sul,1,88.32,8.32,17.615433270082224,1507.37,5.170909090909091,0.75,0.25,0.5
4110607,Iporã,PR,Sul,1,69.79,-10.21,15.347203458524723,1543.14,5.102,0.9411764705882353,0.35294117647058826,0.47058823529411764
4110656,Iracema Do Oeste,PR,Sul,1,100.0,20.0,15.114503816793892,1353.34,5.3100000000000005,0.75,0.5,0.75
4110706,Irati,PR,Sul,1,87.68,7.68,27.474676912329727,1765.52,5.281891891891892,0.6212121212121212,0.3939393939393939,0.5
4110805,Iretama,PR,Sul,1,85.78,5.78,20.082328726845045,1310.73,5.098333333333334,0.5,0.35714285714285715,0.42857142857142855
4110904,Itaguajé,PR,Sul,1,70.84,-9.16,16.93121693121693,1391.9,5.225,0.25,0.25,0.5
4110953,Itaipulândia,PR,Sul,1,89.62,9.62,9.628074385122975,1555.62,5.198333333333333,0.7692307692307693,0.46153846153846156,0.6153846153846154
4111001,Itambaracá,PR,Sul,1,89.07,9.07,20.252469813391876,1287.62,4.95,0.5,0.6666666666666666,0.5
4111100,Itambé,PR,Sul,1,95.11,15.11,10.263396911898274,1536.99,5.346666666666667,0.6666666666666666,0.8333333333333334,0.6666666666666666
4111209,Itapejara D'Oeste,PR,Sul,1,83.31,3.31,12.111292962356792,1613.14,5.226,0.36363636363636365,0.7272727272727273,0.7272727272727273
4111258,Itaperuçu,PR,Sul,2,58.56,-21.44,31.82330827067669,1035.18,4.964166666666666,0.35,0.3,0.35
4111308,Itaúna Do Sul,PR,Sul,1,88.81,8.81,18.629173989455182,1251.41,5.0633333333333335,0.6,0.8,0.6
4111407,Ivaí,PR,Sul,1,91.25,11.25,24.717553044915956,1289.23,5.027777777777778,0.7272727272727273,0.45454545454545453,0.6363636363636364
4111506,Ivaiporã,PR,Sul,1,82.77,2.77,10.803030303030303,1764.64,5.206,0.5789473684210527,0.47368421052631576,0.47368421052631576
4111555,Ivaté,PR,Sul,1,90.84,10.84,22.316384180790962,1318.3,5.075,0.5,0.5,0.5
4111605,Ivatuba,PR,Sul,1,100.0,20.0,7.418397626112759,1780.15,5.1899999999999995,0.75,0.75,0.5
4111704,Jaboti,PR,Sul,1,91.43,11.43,27.22772277227723,1482.44,5.0649999999999995,0.75,0.5,0.75
4111803,Jacarezinho,PR,Sul,1,60.76,-19.24,28.749999999999996,1591.93,5.20625,0.55,0.375,0.575
4111902,Jaguapitã,PR,Sul,1,82.59,2.59,21.448624368332396,1517.31,5.279999999999999,0.9090909090909091,0.5454545454545454,0.5454545454545454
4112009,Jaguariaíva,PR,Sul,1,79.1,-0.9,23.39146121467228,1418.37,5.201176470588235,0.5333333333333333,0.7,0.8333333333333334
4112108,Jandaia Do Sul,PR,Sul,1,91.0,11.0,21.236872812135356,1763.44,5.36625,0.6,0.45,0.45
4112207,Janiópolis,PR,Sul,1,93.14,13.14,19.3138500635324,1208.61,5.22,0.5,0.5,0.5
4112306,Japira,PR,Sul,1,98.28,18.28,16.775244299674267,1339.86,5.1850000000000005,0.25,0.25,0.5
4112405,Japurá,PR,Sul,1,98.98,18.98,20.618556701030926,1684.55,5.383333333333333,0.6666666666666666,0.5,0.5
4112504,Jardim Alegre,PR,Sul,1,82.31,2.31,18.725695483099013,1312.61,4.99,0.6153846153846154,0.9230769230769231,0.9230769230769231
4112603,Jardim Olinda,PR,Sul,1,84.62,4.62,14.553014553014554,1120.71,5.029999999999999,0.3333333333333333,0.3333333333333333,0.6666666666666666
4112702,Jataizinho,PR,Sul,1,81.77,1.77,26.171669299631382,1263.41,5.181666666666667,0.6,0.7,0.8
4112751,Jesuítas,PR,Sul,1,90.83,10.83,22.238478419897586,1610.56,5.185,0.5,0.625,0.625
4112801,Joaquim Távora,PR,Sul,1,94.13,14.13,21.696252465483234,1481.83,5.2057142857142855,0.7333333333333333,0.3333333333333333,0.4
4112900,Jundiaí Do Sul,PR,Sul,1,84.91,4.91,21.233411397345826,1278.67,5.03,0.6,0.6,0.4
4112959,Juranda,PR,Sul,1,73.4,-6.6,21.292217327459618,1524.76,5.346666666666667,0.5454545454545454,0.5454545454545454,0.6363636363636364
4113007,Jussara,PR,Sul,1,88.65,8.65,21.442369607211848,1489.41,5.35,1.0,0.2,0.4
4113106,Kaloré,PR,Sul,1,80.68,0.68,24.223980523432743,1400.13,5.4350000000000005,0.5,0.375,0.375
4113205,Lapa,PR,Sul,1,85.11,5.11,24.229162522379152,1508.11,5.228387096774193,0.391304347826087,0.5217391304347826,0.5652173913043478
4113254,Laranjal,PR,Sul,2,58.86,-21.14,30.971039182282794,1001.65,4.346666666666667,0.4444444444444444,0.3333333333333333,0.4444444444444444
4113304,Laranjeiras Do Sul,PR,Sul,1,83.41,3.41,20.818129441136932,1801.68,5.141666666666667,0.475,0.325,0.725
4113403,Leópolis,PR,Sul,1,91.46,11.46,19.386909693454847,1313.79,5.093333333333334,0.2222222222222222,0.5555555555555556,0.6666666666666666
4113429,Lidianópolis,PR,Sul,1,89.15,9.15,16.248431618569636,1256.59,5.010000000000001,0.2857142857142857,0.7142857142857143,0.42857142857142855
4113452,Lindoeste,PR,Sul,1,91.57,11.57,27.61324041811847,1258.41,5.051666666666667,0.25,0.375,0.5
4113502,Loanda,PR,Sul,1,89.2,9.2,11.379392780301218,1760.13,5.253333333333334,0.782608695652174,0.30434782608695654,0.4782608695652174
4113700,Londrina,PR,Sul,1,80.34,0.34,25.548193182594442,2332.51,5.442828947368421,0.5653333333333334,0.33066666666666666,0.6373333333333333
4113734,Luiziana,PR,Sul,1,95.42,15.42,32.28288750458043,1271.33,5.09,0.5,0.5,0.5
4113759,Lunardelli,PR,Sul,1,72.63,-7.37,16.666666666666664,1265.28,5.123333333333334,0.5,0.5,0.3333333333333333
