CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4312252,RS,Sul,73.92,0.8369856676633787,True,True
4304655,RS,Sul,71.43,0.8361552715522884,True,True
4307831,RS,Sul,41.67,0.8356911075165008,True,True
4315008,RS,Sul,61.11,0.8340378521821096,True,True
4320263,RS,Sul,75.0,0.8340179086554914,True,True
4310876,RS,Sul,11.11,0.8339234071886265,True,True
4321709,RS,Sul,55.16,0.8336305520261961,True,True
4307302,RS,Sul,49.39,0.8335777251668736,True,True
4319505,RS,Sul,51.66,0.8332120234696448,True,True
4309100,RS,Sul,71.92,0.8331149385060745,True,True
4320321,RS,Sul,75.06,0.832936710789386,True,True
4319406,RS,Sul,47.13,0.8322454463369194,True,True
4308250,RS,Sul,70.59,0.8314025133956601,True,True
4303806,RS,Sul,67.88,0.8311883071576824,True,True
4309951,RS,Sul,65.44,0.8305871389286078,True,True
4302055,RS,Sul,66.67,0.8304664974053555,True,True
4320206,RS,Sul,65.72,0.8302815749688552,True,True
4321436,RS,Sul,54.67,0.8284403517245997,True,True
4320859,RS,Sul,28.34,0.8280397635663639,True,True
4316907,RS,Sul,47.89,0.8274706118541131,True,True
4308607,RS,Sul,66.72,0.827109714585309,True,True
4302204,RS,Sul,76.12,0.8268793313299557,True,True
4320404,RS,Sul,69.75,0.8259918438449434,True,True
4306700,RS,Sul,69.23,0.8256707212797191,True,True
4306007,RS,Sul,66.39,0.8256411647933084,True,True
4311809,RS,Sul,47.06,0.8253782241376347,True,True
4310652,RS,Sul,35.71,0.8243813613955484,True,True
4306924,RS,Sul,46.15,0.8238791593486047,True,True
4304507,RS,Sul,59.13,0.8238674452171886,True,True
4312906,RS,Sul,66.05,0.8234352162744267,True,True
4310330,RS,Sul,45.46,0.8233052684502646,True,True
4301404,RS,Sul,36.84,0.8231099420588197,True,True
4314209,RS,Sul,36.84,0.8225889948566047,True,True
4310108,RS,Sul,76.18,0.8224711277767652,True,True
4313300,RS,Sul,70.93,0.8222265007650298,True,True
4301305,RS,Sul,31.14,0.8206777874309473,True,True
4308078,RS,Sul,75.3,0.8194796451788412,True,True
4309605,RS,Sul,67.85,0.8187353805815554,True,True
4312104,RS,Sul,43.75,0.8182081507957875,True,True
4311718,RS,Sul,45.97,0.8177269396078651,True,True
4318614,RS,Sul,70.0,0.8170470907902969,True,True
4304002,RS,Sul,47.39,0.8155554635989758,True,True
4305702,RS,Sul,74.25,0.8153159394881094,True,True
4311122,RS,Sul,65.35,0.8150856092200727,True,True
4311775,RS,Sul,11.11,0.8141268064315297,True,True
4319604,RS,Sul,30.18,0.8135213397263676,True,True
4302402,RS,Sul,57.09,0.8132005846508177,True,True
4313391,RS,Sul,77.87,0.8131102700824788,True,True
4302105,RS,Sul,69.72,0.8117107041741765,True,True
4313037,RS,Sul,78.26,0.8111914077711426,True,True
4310900,RS,Sul,68.67,0.8106795932743207,True,True
4302154,RS,Sul,45.45,0.8101309336060002,True,True
