CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,MES_REFERENCIA,QT_FAMILIAS_POBREZA_FAIXA_PBF,QT_FAMILIAS_ATE_MEIO_SM,QT_FAMILIAS_ACIMA_MEIO_SM
315640,ROMARIA,MG,08/2026,228,328,160
315645,ROSÁRIO DA LIMEIRA,MG,08/2026,570,808,506
315650,RUBELITA,MG,08/2026,1216,1511,814
315660,RUBIM,MG,08/2026,837,1411,916
315670,SABARÁ,MG,08/2026,7375,12403,9350
315680,SABINÓPOLIS,MG,08/2026,1528,2266,1354
315690,SACRAMENTO,MG,08/2026,1295,2269,2863
315700,SALINAS,MG,08/2026,4311,6703,4455
315710,SALTO DA DIVISA,MG,08/2026,693,1120,874
315720,SANTA BÁRBARA,MG,08/2026,2383,3480,2162
315725,SANTA BÁRBARA DO LESTE,MG,08/2026,1258,1680,848
315727,SANTA BÁRBARA DO MONTE VERDE,MG,08/2026,300,461,334
315730,SANTA BÁRBARA DO TUGÚRIO,MG,08/2026,233,445,318
315733,SANTA CRUZ DE MINAS,MG,08/2026,716,1126,627
315737,SANTA CRUZ DE SALINAS,MG,08/2026,599,789,618
315740,SANTA CRUZ DO ESCALVADO,MG,08/2026,508,761,751
315750,SANTA EFIGÊNIA DE MINAS,MG,08/2026,592,882,441
315760,SANTA FÉ DE MINAS,MG,08/2026,522,718,516
315765,SANTA HELENA DE MINAS,MG,08/2026,1385,1663,491
315770,SANTA JULIANA,MG,08/2026,866,1318,721
315780,SANTA LUZIA,MG,08/2026,15602,24732,14926
315790,SANTA MARGARIDA,MG,08/2026,1867,3118,1276
315800,SANTA MARIA DE ITABIRA,MG,08/2026,639,1114,754
315810,SANTA MARIA DO SALTO,MG,08/2026,790,1094,847
315820,SANTA MARIA DO SUAÇUÍ,MG,08/2026,1480,2138,1188
315830,SANTANA DA VARGEM,MG,08/2026,337,739,805
315840,SANTANA DE CATAGUASES,MG,08/2026,340,588,499
315850,SANTANA DE PIRAPAMA,MG,08/2026,613,911,506
315860,SANTANA DO DESERTO,MG,08/2026,178,406,255
315870,SANTANA DO GARAMBÉU,MG,08/2026,304,392,209
315880,SANTANA DO JACARÉ,MG,08/2026,290,655,566
315890,SANTANA DO MANHUAÇU,MG,08/2026,893,1516,645
315895,SANTANA DO PARAÍSO,MG,08/2026,2343,4212,3521
315900,SANTANA DO RIACHO,MG,08/2026,616,859,374
315910,SANTANA DOS MONTES,MG,08/2026,485,589,230
315920,SANTA RITA DE CALDAS,MG,08/2026,312,675,867
315930,SANTA RITA DE JACUTINGA,MG,08/2026,540,736,490
315935,SANTA RITA DE MINAS,MG,08/2026,680,1068,640
315940,SANTA RITA DE IBITIPOCA,MG,08/2026,248,433,289
315950,SANTA RITA DO ITUETO,MG,08/2026,889,1148,444
315960,SANTA RITA DO SAPUCAÍ,MG,08/2026,1264,2849,3086
315970,SANTA ROSA DA SERRA,MG,08/2026,263,420,228
315980,SANTA VITÓRIA,MG,08/2026,1367,2210,2608
315990,SANTO ANTÔNIO DO AMPARO,MG,08/2026,1013,2190,1588
316000,SANTO ANTÔNIO DO AVENTUREIRO,MG,08/2026,305,521,365
316010,SANTO ANTÔNIO DO GRAMA,MG,08/2026,264,460,293
316020,SANTO ANTÔNIO DO ITAMBÉ,MG,08/2026,572,756,299
316030,SANTO ANTÔNIO DO JACINTO,MG,08/2026,1407,2032,1121
316040,SANTO ANTÔNIO DO MONTE,MG,08/2026,677,1871,1710
316045,SANTO ANTÔNIO DO RETIRO,MG,08/2026,1653,1888,662
316050,SANTO ANTÔNIO DO RIO ABAIXO,MG,08/2026,239,349,278
316060,SANTO HIPÓLITO,MG,08/2026,393,541,382
316070,SANTOS DUMONT,MG,08/2026,2934,4862,3146
316080,SÃO BENTO ABADE,MG,08/2026,512,777,386
316090,SÃO BRÁS DO SUAÇUÍ,MG,08/2026,207,361,467
316095,SÃO DOMINGOS DAS DORES,MG,08/2026,651,1064,622
316100,SÃO DOMINGOS DO PRATA,MG,08/2026,868,1645,1291
316105,SÃO FÉLIX DE MINAS,MG,08/2026,387,616,423
316110,SÃO FRANCISCO,MG,08/2026,8019,11097,5368
316120,SÃO FRANCISCO DE PAULA,MG,08/2026,362,671,804
316130,SÃO FRANCISCO DE SALES,MG,08/2026,447,706,677
316140,SÃO FRANCISCO DO GLÓRIA,MG,08/2026,347,657,607
316150,SÃO GERALDO,MG,08/2026,796,1272,1149
316160,SÃO GERALDO DA PIEDADE,MG,08/2026,512,733,362
316165,SÃO GERALDO DO BAIXIO,MG,08/2026,418,594,391
316170,SÃO GONÇALO DO ABAETÉ,MG,08/2026,761,1085,672
316180,SÃO GONÇALO DO PARÁ,MG,08/2026,396,969,1022
316190,SÃO GONÇALO DO RIO ABAIXO,MG,08/2026,697,1303,1901
316200,SÃO GONÇALO DO SAPUCAÍ,MG,08/2026,2190,3220,1974
316210,SÃO GOTARDO,MG,08/2026,2065,3712,3205
316220,SÃO JOÃO BATISTA DO GLÓRIA,MG,08/2026,198,471,688
316225,SÃO JOÃO DA LAGOA,MG,08/2026,1038,1294,692
316230,SÃO JOÃO DA MATA,MG,08/2026,354,466,216
316240,SÃO JOÃO DA PONTE,MG,08/2026,3509,4834,2320
316245,SÃO JOÃO DAS MISSÕES,MG,08/2026,1978,2902,1081
316250,SÃO JOÃO DEL REI,MG,08/2026,4146,7779,6071
316255,SÃO JOÃO DO MANHUAÇU,MG,08/2026,1710,2298,945
316257,SÃO JOÃO DO MANTENINHA,MG,08/2026,896,1192,819
316260,SÃO JOÃO DO ORIENTE,MG,08/2026,1100,1592,1078
316265,SÃO JOÃO DO PACUÍ,MG,08/2026,591,805,501
316270,SÃO JOÃO DO PARAÍSO,MG,08/2026,2241,3541,1766
316280,SÃO JOÃO EVANGELISTA,MG,08/2026,1488,2307,1364
316290,SÃO JOÃO NEPOMUCENO,MG,08/2026,1610,3034,2711
316292,SÃO JOAQUIM DE BICAS,MG,08/2026,3817,5358,2913
316294,SÃO JOSÉ DA BARRA,MG,08/2026,418,766,590
316295,SÃO JOSÉ DA LAPA,MG,08/2026,1940,2900,2092
316300,SÃO JOSÉ DA SAFIRA,MG,08/2026,669,888,556
316310,SÃO JOSÉ DA VARGINHA,MG,08/2026,360,587,447
316320,SÃO JOSÉ DO ALEGRE,MG,08/2026,253,497,489
316330,SÃO JOSÉ DO DIVINO,MG,08/2026,507,685,450
316340,SÃO JOSÉ DO GOIABAL,MG,08/2026,615,925,864
316350,SÃO JOSÉ DO JACURI,MG,08/2026,910,1161,500
316360,SÃO JOSÉ DO MANTIMENTO,MG,08/2026,355,493,220
316370,SÃO LOURENÇO,MG,08/2026,2302,4333,3511
316380,SÃO MIGUEL DO ANTA,MG,08/2026,1033,1276,717
316390,SÃO PEDRO DA UNIÃO,MG,08/2026,317,542,301
316400,SÃO PEDRO DOS FERROS,MG,08/2026,418,772,909
316410,SÃO PEDRO DO SUAÇUÍ,MG,08/2026,782,1027,508
316420,SÃO ROMÃO,MG,08/2026,1417,1768,785
316430,SÃO ROQUE DE MINAS,MG,08/2026,446,705,501
316440,SÃO SEBASTIÃO DA BELA VISTA,MG,08/2026,209,519,443
316443,SÃO SEBASTIÃO DA VARGEM ALEGRE,MG,08/2026,214,397,346
316447,SÃO SEBASTIÃO DO ANTA,MG,08/2026,1499,1805,634
316450,SÃO SEBASTIÃO DO MARANHÃO,MG,08/2026,1091,1609,988
316460,SÃO SEBASTIÃO DO OESTE,MG,08/2026,585,959,479
316470,SÃO SEBASTIÃO DO PARAÍSO,MG,08/2026,2737,5099,3647
316480,SÃO SEBASTIÃO DO RIO PRETO,MG,08/2026,122,187,115
316490,SÃO SEBASTIÃO DO RIO VERDE,MG,08/2026,132,224,240
316500,SÃO TIAGO,MG,08/2026,485,1038,919
316510,SÃO TOMÁS DE AQUINO,MG,08/2026,373,623,338
316520,SÃO THOMÉ DAS LETRAS,MG,08/2026,327,701,611
316530,SÃO VICENTE DE MINAS,MG,08/2026,650,964,653
